"id","type_1","type_2","type_3","heroId","heroName","eName","cName","rCD","gradient","updateId","wikiId","skinNum","heroVote","tagType","tagText","qqBanTimes","qqBanRate","qqPickTimes","qqPickRate","qqWinTimes","qqWinRate","qqScore","wxBanTimes","wxBanRate","wxPickTimes","wxPickRate","wxWinTimes","wxWinRate","wxScore","allBanTimes","allBanRate","allPickTimes","allPickRate","allWinTimes","allWinRate","allExpectRate","allScore","allScore_ex","avgScore","avgQQFightPower","pickTimes_w","pickTimes_m","skillId_1","skillPickTimes_1","skillPickRate_1","skillId_2","skillPickTimes_2","skillPickRate_2","killCnt","deadCnt","assistCnt","hurtTransRate","totalHurtCnt","totalHeroHurtCnt","totalBehurtCnt","totalBeheroHurtCnt","behurtPerDeath","equipmentMoney","equipmentMoneyMin","joinGamePercent","heroLevel","towerCnt","maxTower","kdaScore","monsterCoin","killSoldier","buildingDamage","ctrlTime","healCnt","winMvpTimes","winMvpRate","loseMvpTimes","loseMvpRate","allMvpRate","evaluateSilverTimes","evaluateSilverRate","evaluateGoldTimes","evaluateGoldRate","allBrandRate","adaptationRate","usedtime","trend","isUp","oldIndex","newIndex","changeValue","onlineTime","adjustmentTime","skinTime","updateTime"
"21","5",,,"114","刘禅","liú_chán","夹子|阿斗|啊斗|推土机|ls","99","4","233690069",,"1","0",,,"21","0.00116395","893","0.0494956","399","0.446809","32.385","16","0.00121424","702","0.0532746","348","0.495726","35.593","37","0.00118518","1595","0.0510907","747","0.468339","0.0618403","33.989","359604","91.3124","10626","7610",,"80115","7459","0.991098","1347","2521","0.334972","1.0483","3.7197","8.4282","0.68721","67952.5","32386.1","116538","99201.1","33249","7306.92","524.68","0.619981","13.0646","0.8025","0.2922","5.55081","218.909","6.42884","8260.65","25.1542","13260.9","67","0.042006","60","0.037618","0.079624","215","0.134796","125","0.07837","0.213166","0.00826446","827.362","0","0","83","81","-0.00271908","1/1/1999 00:00:00","20/9/2023 00:00:00","1/6/2023 00:00:00","11/8/2024 00:30:03"
"22","5",,,"113","庄周","zhuāng_zhōu","鱼鱼|酸菜|咸鱼|zz","99","3","233689989","23310047","1","0",,,"1210","0.0670657","1124","0.0622991","580","0.516014","46.6437","1103","0.0837065","906","0.0687562","473","0.522075","50.3183","2313","0.0740895","2030","0.0650245","1053","0.518719","0.0591125","48.481","473708","45.9952","9820","9276",,"80102","8068","0.911741","1721","5874","0.663804","0.9862","2.1724","9.6778","0.755665","91768.8","39720.4","103819","94485.9","50880.5","7843.12","529.316","0.674554","13.5601","0.1103","0.0241","9.68529","292.063","10.1975","842.886","11.7552","18719.4","144","0.070936","145","0.071429","0.142365","312","0.153695","210","0.103448","0.257143","0","884.732","2","3","56","52","-0.0030484","1/1/1999 00:00:00",,"21/4/2023 00:00:00","11/8/2024 00:30:03"
"23","5","2",,"108","墨子","mò_zǐ","墨三炮|墨一炮|mz","99","2","233690787","22918124","1","0.3636",,,"17","0.000942246","2278","0.126261","1122","0.492537","49.9968","43","0.00326326","1800","0.136602","869","0.482778","51.8671","60","0.00192191","4078","0.130626","1991","0.48823","0.0287679","50.932","592390","54.0538","11684","19922",,"80115","12707","0.668157","1422","5244","0.275739","1.3477","3.1513","8.8298","1.10267","123724","58130.7","84175.5","75211","28968.6","7731.71","551.408","0.644237","13.348","0.268","0.0755","7.04363","282.76","15.2754","2145.52","55.2138","7043.95","298","0.073075","248","0.060814","0.133889","413","0.101275","307","0.075282","0.176557","0.0165289","847.516","0","0","32","34","-0.00658158","1/1/1999 00:00:00","9/5/2024 00:00:00","18/4/2024 00:00:00","11/8/2024 00:30:03"
"24","5","1",,"105","廉颇","lián_pō","颇颇|阿颇|啊颇|lp","99","3.5","233691825","25191810","1","0",,,"8","0.00044341","1410","0.078151","644","0.456738","38.5225","4","0.000303559","1016","0.077104","510","0.501969","40.5572","12","0.000384381","2426","0.0777091","1154","0.47568","0.0533993","39.5398","434227","32.803","11064","11051",,"80115","5393","0.510411","1421","6752","0.639031","1.6533","3.1138","8.3932","0.836645","118946","45626.1","115907","101922","41423","8232.18","564.77","0.633717","13.4406","0.2885","0.0894","7.20789","305.99","15.3487","2318.3","21.4485","27786.7","196","0.080791","142","0.058533","0.139324","379","0.156224","255","0.105111","0.261336","0.0578512","861.542","2","8","60","59","-0.000937487","1/1/1999 00:00:00","23/5/2024 00:00:00","19/3/2024 00:00:00","11/8/2024 00:30:03"
"25","4","1","3","518","马超","mǎ_chāo","神威|马子|马车|插秧|插秧王|电光马子|mc","99","0.5","358740390","22921356","1","0.6522",,,"4915","0.27242","4490","0.248864","2318","0.516258","109.638","1493","0.113303","2810","0.21325","1453","0.517082","82.6671","6408","0.20526","7300","0.233832","3771","0.516575","0.1907","96.1526","1345750","80.4825","13974","32967",,"80104","29381","0.881941","1532","23262","0.698265","4.7396","2.6966","4.8463","0.894014","535611","70105.2","93351.6","71097.1","31734.6","11640.6","835.157","0.609607","14.4538","0.5747","0.1864","7.70129","2933.49","35.4707","6018.04","4.39041","37116.8","1527","0.209178","1191","0.163151","0.372329","1526","0.209041","1356","0.185753","0.394795","0.0165289","853.487","2","12","8","7","0.010591","15/8/2019 00:00:00","27/6/2024 00:00:00","31/1/2024 00:00:00","11/8/2024 00:30:03"
"26","4","1",,"522","曜","yào","仙剑|李逍遥","99","3.5","350791555","22927747","1","0.375",,,"1","0.0000554262","416","0.0230573","192","0.461538","27.6953","1","0.0000758898","360","0.0273203","182","0.505556","30.7513","2","0.0000640635","776","0.0248567","374","0.481959","0.00761782","29.2233","338348","60.6503","11615","3442",,"80104","3379","0.95076","1422","2644","0.74395","4.4265","2.8827","3.9253","0.833247","533144","63534","76422.5","58660","24326.2","11662.5","809.867","0.543327","14.4046","0.5322","0.1649","6.36593","3098.49","33.0735","4966.81","7.12629","27161.1","125","0.161082","119","0.153351","0.314433","121","0.155928","96","0.123711","0.279639","0.0165289","862.505","0","0","90","92","-0.000854058","26/6/2019 00:00:00","27/6/2024 00:00:00","7/3/2024 00:00:00","11/8/2024 00:30:03"
"27","4",,,"506","云中君","yún_zhōng_jun","小鸡|云中鸡|走地鸡|yzj","99","3","339663393",,"1","0.5",,,"0","0","611","0.0338654","341","0.558101","34.6782","0","0","418","0.0317219","216","0.516746","32.1817","0","0","1029","0.0329607","557","0.541302","0.0185018","33.4299","391565","25.7561","11827","4412",,"80104","4059","0.987591","1132","2518","0.612652","5.0272","3.0369","4.7619","0.804276","547889","61553.5","80993","57713.6","23255.1","11813.7","820.649","0.602806","14.4529","0.8863","0.2954","7.15591","3408.28","26.0175","8025.85","15.2546","8494.01","150","0.145773","101","0.098154","0.243926","119","0.115646","87","0.084548","0.200194","0","856.187","0","0","68","74","-0.0014459","11/5/2019 00:00:00","30/5/2024 00:00:00","25/4/2024 00:00:00","11/8/2024 00:30:03"
"28","4",,,"529","盘古","pán_gǔ","pg","99","5","324272317",,"1","0",,,"0","0","128","0.00709456","74","0.578125","30.3252","2","0.00015178","92","0.00698186","36","0.391304","20.9806","2","0.0000640635","220","0.00704699","110","0.5","0.00380928","25.6529","252116","26.7202","9862","989",,"80104","833","0.953089","1328","431","0.493135","3.7182","2.7955","5.1818","0.908636","469877","65479","97588.5","76009.7","33398.2","10788.1","741.769","0.593868","14.3364","0.2773","0.1045","6.87118","3045.69","21.25","3206.6","52.9","37914.7","27","0.122727","22","0.1","0.222727","37","0.168182","24","0.109091","0.277273","0","869.977","0","4","119","113","0.000190419","19/2/2019 00:00:00","9/5/2024 00:00:00","18/1/2023 00:00:00","11/8/2024 00:30:03"
"29","1","3",,"507","李信","lǐ_xìn","光信|暗信|太阳|保安|lx","99","3.5","308558503","23023580","1","0.2941",,,"3","0.000166279","905","0.0501607","415","0.458564","32.9811","0","0","937","0.0711088","450","0.480256","38.2346","3","0.0000960953","1842","0.0590025","865","0.469598","0.0295029","35.6078","418748","34.0823","11831","7336",,"80115","6274","0.894242","1127","718","0.102338","3.3252","3.0803","3.6629","1.01042","381384","75029.1","61910.7","53253","20645.3","10885.6","731.668","0.456038","14.0885","0.8692","0.3035","4.73631","883.332","52.8621","8243.28","0.85342","15676.1","215","0.116721","279","0.151466","0.268187","325","0.176439","273","0.148208","0.324647","0.0330578","885.914","0","0","72","63","-0.00316453","22/11/2018 00:00:00","27/6/2024 00:00:00","18/1/2023 00:00:00","11/8/2024 00:30:03"
"31","1",,,"503","狂铁","kuáng_tiě","狂贴|铁子|kt","99","3","272986391",,"1","1",,,"0","0","1180","0.0654029","569","0.482203","37.1908","2","0.00015178","787","0.0597253","369","0.468869","35.4075","2","0.0000640635","1967","0.0630065","938","0.476868","0.053617","36.2991","408801","37.6028","11315","9459",,"80115","9103","0.994972","1422","7576","0.828069","2.4743","3.2369","4.6828","0.819014","271606","51755.7","100550","81140","30528.5","9666.06","690.065","0.47839","13.7321","0.6335","0.212","4.88891","676.106","42.2954","5450.95","14.4479","26596.2","125","0.063549","159","0.080834","0.144382","262","0.133198","182","0.092527","0.225724","0","838.764","0","0","61","69","0.0014431","20/4/2018 00:00:00","28/3/2024 00:00:00","25/8/2020 00:00:00","11/8/2024 00:30:03"
